X,CH1,CH2,CH3,CH4,Start,Increment,Unnamed: 7,V_t
,Volt,Volt,Volt,Volt,-0.3,0.0005,,
127.0,1.14e+00,4.00e-01,3.44e+00,3.20e-02,,,,9.759742009211912
128.0,1.22e+00,8.00e-01,3.52e+00,4.80e-02,,,,9.678525362431854
129.0,1.14e+00,4.00e-01,2.48e+00,2.40e-02,,,,9.612114666301782
130.0,1.20e+00,8.00e-01,3.44e+00,3.20e-02,,,,9.56023430929859
131.0,1.12e+00,4.00e-01,3.84e+00,4.80e-02,,,,9.522529687646212
132.0,1.16e+00,4.00e-01,3.84e+00,3.20e-02,,,,9.498577890011525
133.0,1.12e+00,8.00e-01,3.76e+00,4.80e-02,,,,9.487897740366542
134.0,1.16e+00,8.00e-01,3.84e+00,3.20e-02,,,,9.489959176649638
135.0,1.08e+00,4.00e-01,3.44e+00,4.80e-02,,,,9.5041919552146
136.0,1.08e+00,4.00e-01,3.52e+00,4.80e-02,,,,9.529993681343488
137.0,1.14e+00,8.00e-01,2.40e+00,2.40e-02,,,,9.566737174548162
138.0,1.06e+00,8.00e-01,3.28e+00,3.20e-02,,,,9.61377718421302
139.0,1.14e+00,4.00e-01,3.84e+00,4.80e-02,,,,9.670456476539378
140.0,1.10e+00,4.00e-01,3.84e+00,4.00e-02,,,,9.736111317926243
141.0,1.04e+00,8.00e-01,3.76e+00,4.80e-02,,,,9.81007638303183
142.0,1.10e+00,8.00e-01,3.84e+00,4.80e-02,,,,9.891689117959022
143.0,1.02e+00,4.00e-01,3.44e+00,3.20e-02,,,,9.98029359043357
144.0,1.08e+00,8.00e-01,2.56e+00,1.60e-02,,,,10.075243859619421
145.0,1.02e+00,4.00e-01,3.60e+00,4.80e-02,,,,10.175906898450183
146.0,1.00e+00,4.00e-01,3.52e+00,3.20e-02,,,,10.281665101145514
147.0,1.08e+00,8.00e-01,4.00e+00,4.80e-02,,,,10.391918408010529
148.0,1.04e+00,8.00e-01,4.00e+00,4.00e-02,,,,10.50608607875815
149.0,9.80e-01,4.00e-01,3.76e+00,4.80e-02,,,,10.623608144512385
150.0,1.04e+00,8.00e-01,3.84e+00,4.80e-02,,,,10.743946567398975
151.0,9.60e-01,4.00e-01,3.28e+00,3.20e-02,,,,10.866586135255353
152.0,9.60e-01,8.00e-01,2.64e+00,4.80e-02,,,,10.991035117533734
153.0,1.02e+00,4.00e-01,3.60e+00,2.40e-02,,,,11.11682570696225
154.0,1.02e+00,8.00e-01,3.60e+00,3.20e-02,,,,11.243514269997139
155.0,9.40e-01,4.00e-01,4.00e+00,4.80e-02,,,,11.370681427566678
156.0,1.00e+00,8.00e-01,4.00e+00,4.00e-02,,,,11.49793198609289
157.0,9.40e-01,4.00e-01,3.68e+00,4.80e-02,,,,11.624894737295286
158.0,9.80e-01,8.00e-01,3.76e+00,4.80e-02,,,,11.751222143843563
159.0,9.40e-01,4.00e-01,2.64e+00,3.20e-02,,,,11.876589926541367
160.0,9.80e-01,8.00e-01,3.28e+00,3.20e-02,,,,12.000696567398974
161.0,9.00e-01,4.00e-01,3.84e+00,4.80e-02,,,,12.123262741692123
162.0,9.80e-01,8.00e-01,3.76e+00,4.80e-02,,,,12.244030690911416
163.0,9.00e-01,4.00e-01,4.08e+00,4.00e-02,,,,12.362763547382713
164.0,9.00e-01,8.00e-01,4.08e+00,4.00e-02,,,,12.47924462028437
165.0,9.80e-01,4.00e-01,3.68e+00,4.80e-02,,,,12.59327665180192
166.0,9.00e-01,8.00e-01,3.76e+00,4.80e-02,,,,12.704681051243279
167.0,9.60e-01,4.00e-01,2.48e+00,2.40e-02,,,,12.813297114086357
168.0,9.00e-01,8.00e-01,3.28e+00,3.20e-02,,,,12.918981232143906
169.0,9.60e-01,4.00e-01,3.84e+00,4.80e-02,,,,13.021606100304673
170.0,9.00e-01,8.00e-01,3.76e+00,4.80e-02,,,,13.121059924643301
